"무등동물병원",
"정동물병원",
"전남낙협동물병원","전라남도 나주시 산포면 송림산제길 170","0613368166",
"운정동물의료센터","경기도 파주시 미래로 371, 2층 203호 (동패동)","031-935-5675",
"다독다독동물병원","경상남도 김해시 계동로137번길 4-14 (대청동)","055-331-7582",
"제마동물병원","제주특별자치도 서귀포시 대정읍 형제해안로 256 (바닷가에맛)",
"경인동물의료센터","서울특별시 영등포구 경인로 832, 1층 (영등포동, 대성빌딩)","02-571-8275",
"김포24시힐동물의료센터","경기도 김포시 김포한강2로 11, 근린생활시설 1동 201,202호 (장기동, 수정마을 쌍용예가아파트)","031-987-7585",
"학익동물병원","인천광역시 남구 한나루로 379 (학익동, 제중빌딩)",
"마포 키다리 동물병원","서울특별시 마포구 월드컵북로 262 (성산동, 제2상가동 101,102호 성산시영아파트)","023767675",
"바른동물병원","서울특별시 중구 퇴계로 447, 1층 131호 (황학동, 황학 아크로타워)","02-2232-7975",
"앨리스in동물병원","대구광역시 달서구 조암로 4, 105호 (월성동, 그루메디컬)","0536387585",
"해옴동물병원","부산광역시 강서구 명지오션시티4로 69 (명지동)",
"모현동물병원","전라북도 익산시 선화로 114 (남중동)",
"앙리동물병원","서울특별시 성북구 성북로 66 (성북동, 농협)","02-766-7577",
"내성동물병원","경상북도 봉화군 봉화읍 봉화로 1129-1","054-672-7585",
"정관착한동물병원","부산광역시 기장군 정관읍 정관로 575-3, 2층 202호 (정관제일타워Ⅱ)","051-923-0119",
"경서동물병원","경기도 고양시 덕양구 중앙로 136 (화전동)","02-3158-0734",
"더펫동물병원","대구광역시 서구 서대구로 361, 2층 (비산동)","070-4293-0622",
"양지종합동물병원","경기도 용인시 처인구 양지면 중부대로 2219","031-338-7588",
"동물병원 베를린","서울특별시 관악구 남부순환로 1531 (신림동, 태광빌딩)","02-830-1494",
"굿모닝동물병원","서울특별시 강남구 학동로 413 (청담동, 청담빌딩)","02-548-5466",
"첨성대동물병원","경상북도 경주시 충효녹지길 142-7, 상가동 102호 (충효동, 충효대우1차아파트)",
"펫365동물병원","서울특별시 성동구 독서당로 328 (금호동4가)","2282-3653",
"메이동물병원","인천광역시 남동구 만수서로 60 (만수동)","462-0070",
"운정동물의료센터","경기도 파주시 미래로 371, 2층 203호 (동패동)","031-935-5675",
"다독다독동물병원","경상남도 김해시 계동로137번길 4-14 (대청동)","055-331-7582",
"제마동물병원","제주특별자치도 서귀포시 대정읍 형제해안로 256 (바닷가에맛)",
"경인동물의료센터","서울특별시 영등포구 경인로 832, 1층 (영등포동, 대성빌딩)","02-571-8275",
"김포24시힐동물의료센터","경기도 김포시 김포한강2로 11, 근린생활시설 1동 201,202호 (장기동, 수정마을 쌍용예가아파트)","031-987-7585",
"학익동물병원","인천광역시 남구 한나루로 379 (학익동, 제중빌딩)",
"마포 키다리 동물병원","서울특별시 마포구 월드컵북로 262 (성산동, 제2상가동 101,102호 성산시영아파트)","023767675",
"바른동물병원","서울특별시 중구 퇴계로 447, 1층 131호 (황학동, 황학 아크로타워)","02-2232-7975",
"앨리스in동물병원","대구광역시 달서구 조암로 4, 105호 (월성동, 그루메디컬)","0536387585",
"해옴동물병원","부산광역시 강서구 명지오션시티4로 69 (명지동)",
"모현동물병원","전라북도 익산시 선화로 114 (남중동)",
"앙리동물병원","서울특별시 성북구 성북로 66 (성북동, 농협)","02-766-7577",
"내성동물병원","경상북도 봉화군 봉화읍 봉화로 1129-1","054-672-7585",
"정관착한동물병원","부산광역시 기장군 정관읍 정관로 575-3, 2층 202호 (정관제일타워Ⅱ)","051-923-0119",
"리버풀동물병원","경기도 파주시 중앙로 255 (금촌동, 금남빌딩)","031-945-7297",
"광주동물메디컬센터","광주광역시 광산구 북문대로420번길 206 (신창동)","062-523-0075",
"한사랑 동물병원","제주특별자치도 제주시 인다10길 31 (아라일동)","064-747-3000",
"미사라온동물병원","경기도 하남시 미사강변대로226번길 14, 102호 (망월동, 예스프라자13)","792-7517",
"조은동물병원","인천광역시 남동구 남동대로370번길 113 (논현동)","428-0275",
"늘봄동물병원","경기도 김포시 김포한강9로76번길 21, 109호 (구래동, 애플상가)","031-986-7588",
"24시 온누리동물메디컬센터","경기도 안산시 단원구 광덕대로 251 (고잔동)","031-487-7500",
"대산동물병원","충청남도 서산시 대산읍 구진로 4",
"운정동물의료센터","경기도 파주시 미래로 371, 2층 203호 (동패동)","031-935-5675",
"다독다독동물병원","경상남도 김해시 계동로137번길 4-14 (대청동)","055-331-7582",
"제마동물병원","제주특별자치도 서귀포시 대정읍 형제해안로 256 (바닷가에맛)",
"경인동물의료센터","서울특별시 영등포구 경인로 832, 1층 (영등포동, 대성빌딩)","02-571-8275",
"김포24시힐동물의료센터","경기도 김포시 김포한강2로 11, 근린생활시설 1동 201,202호 (장기동, 수정마을 쌍용예가아파트)","031-987-7585",
"학익동물병원","인천광역시 남구 한나루로 379 (학익동, 제중빌딩)",
"마포 키다리 동물병원","서울특별시 마포구 월드컵북로 262 (성산동, 제2상가동 101,102호 성산시영아파트)","023767675",
"바른동물병원","서울특별시 중구 퇴계로 447, 1층 131호 (황학동, 황학 아크로타워)","02-2232-7975",
"앨리스in동물병원","대구광역시 달서구 조암로 4, 105호 (월성동, 그루메디컬)","0536387585",
"해옴동물병원","부산광역시 강서구 명지오션시티4로 69 (명지동)",
"모현동물병원","전라북도 익산시 선화로 114 (남중동)",
"앙리동물병원","서울특별시 성북구 성북로 66 (성북동, 농협)","02-766-7577",
"내성동물병원","경상북도 봉화군 봉화읍 봉화로 1129-1","054-672-7585",
"정관착한동물병원","부산광역시 기장군 정관읍 정관로 575-3, 2층 202호 (정관제일타워Ⅱ)","051-923-0119",
"리버풀동물병원","경기도 파주시 중앙로 255 (금촌동, 금남빌딩)","031-945-7297",
"광주동물메디컬센터","광주광역시 광산구 북문대로420번길 206 (신창동)","062-523-0075",
"한사랑 동물병원","제주특별자치도 제주시 인다10길 31 (아라일동)","064-747-3000",
"미사라온동물병원","경기도 하남시 미사강변대로226번길 14, 102호 (망월동, 예스프라자13)","792-7517",
"조은동물병원","인천광역시 남동구 남동대로370번길 113 (논현동)","428-0275",
"늘봄동물병원","경기도 김포시 김포한강9로76번길 21, 109호 (구래동, 애플상가)","031-986-7588",
"24시 온누리동물메디컬센터","경기도 안산시 단원구 광덕대로 251 (고잔동)","031-487-7500",
"대산동물병원","충청남도 서산시 대산읍 구진로 4",
"퍼스트동물병원","경기도 화성시 외삼미로 166 (반송동)","031-8003-7596",
"청담눈초롱안과동물병원","서울특별시 강남구 도산대로 539, 4층 (청담동, 금원빌딩)","02-512-7566",
"페츠비동물병원","서울특별시 강남구 도산대로 155, 1-2층 (신사동, 국제빌딩)","02-546-2475~6",
"스마트동물병원 성북길음점","서울특별시 성북구 길음로13길 22, 103호, 104호 (길음동, 길음7구역두산위브아파트)","02-941-5575",
"태안 동물병원","충청남도 태안군 태안읍 후곡로 111 (진경빌딩 1층)",
"월천동물병원 (출장전문)","경기도 안성시 대덕면 만세로 366-14",
"넥스펫동물병원","서울특별시 서초구 효령로 347, 1층 (서초동, 서광빌딩)","02-3474-7582",
"최기중 동물병원","충청남도 태안군 태안읍 중앙로 31-2","041-672-0346",
"앨리스in동물병원","대구광역시 달서구 조암로 4, 105호 (월성동, 그루메디컬)","0536387585",
"해옴동물병원","부산광역시 강서구 명지오션시티4로 69 (명지동)",
"모현동물병원","전라북도 익산시 선화로 114 (남중동)",
"앙리동물병원","서울특별시 성북구 성북로 66 (성북동, 농협)","02-766-7577",
"내성동물병원","경상북도 봉화군 봉화읍 봉화로 1129-1","054-672-7585",
"정관착한동물병원","부산광역시 기장군 정관읍 정관로 575-3, 2층 202호 (정관제일타워Ⅱ)","051-923-0119",
"리버풀동물병원","경기도 파주시 중앙로 255 (금촌동, 금남빌딩)","031-945-7297",
"광주동물메디컬센터","광주광역시 광산구 북문대로420번길 206 (신창동)","062-523-0075",
"한사랑 동물병원","제주특별자치도 제주시 인다10길 31 (아라일동)","064-747-3000",
"미사라온동물병원","경기도 하남시 미사강변대로226번길 14, 102호 (망월동, 예스프라자13)","792-7517",
"조은동물병원","인천광역시 남동구 남동대로370번길 113 (논현동)","428-0275",
"늘봄동물병원","경기도 김포시 김포한강9로76번길 21, 109호 (구래동, 애플상가)","031-986-7588",
"24시 온누리동물메디컬센터","경기도 안산시 단원구 광덕대로 251 (고잔동)","031-487-7500",
"대산동물병원","충청남도 서산시 대산읍 구진로 4",
"퍼스트동물병원","경기도 화성시 외삼미로 166 (반송동)","031-8003-7596",
"청담눈초롱안과동물병원","서울특별시 강남구 도산대로 539, 4층 (청담동, 금원빌딩)","02-512-7566",
"페츠비동물병원","서울특별시 강남구 도산대로 155, 1-2층 (신사동, 국제빌딩)","02-546-2475~6",
"스마트동물병원 성북길음점","서울특별시 성북구 길음로13길 22, 103호, 104호 (길음동, 길음7구역두산위브아파트)","02-941-5575",
"태안 동물병원","충청남도 태안군 태안읍 후곡로 111 (진경빌딩 1층)",
"월천동물병원 (출장전문)","경기도 안성시 대덕면 만세로 366-14",
"넥스펫동물병원","서울특별시 서초구 효령로 347, 1층 (서초동, 서광빌딩)","02-3474-7582",
"최기중 동물병원","충청남도 태안군 태안읍 중앙로 31-2","041-672-0346",
"이창석 동물병원","충청남도 태안군 태안읍 동백로 206","041-675-3378",
"의정부 동물병원 24시 88동물의료원","경기도 의정부시 평화로 452, 1층 (의정부동, 알리안츠생명빌딩)","031-848-8275",
"바른동물병원","경기도 광주시 파발로 107 (송정동, 남성빌딩)","031-762-8875",
"한국동물혈액은행 동물병원","대구광역시 수성구 용학로44길 53 (지산동)",
"미사동물병원","경기도 하남시 미사강변중앙로 223, 203호 (망월동)","031-796-7179",
"반석동물병원","경상북도 경주시 안강읍 화전길 46-1",
"테크노연합 동물병원","대구광역시 달성군 유가면 테크노중앙대로6길 2-4","053-617-8875",
"가온동물병원","경기도 파주시 가온로 116 (목동동)",
"한사랑 동물병원","제주특별자치도 제주시 인다10길 31 (아라일동)","064-747-3000",
"미사라온동물병원","경기도 하남시 미사강변대로226번길 14, 102호 (망월동, 예스프라자13)","792-7517",
"조은동물병원","인천광역시 남동구 남동대로370번길 113 (논현동)","428-0275",
"늘봄동물병원","경기도 김포시 김포한강9로76번길 21, 109호 (구래동, 애플상가)","031-986-7588",
"24시 온누리동물메디컬센터","경기도 안산시 단원구 광덕대로 251 (고잔동)","031-487-7500",
"대산동물병원","충청남도 서산시 대산읍 구진로 4",
"퍼스트동물병원","경기도 화성시 외삼미로 166 (반송동)","031-8003-7596",
"청담눈초롱안과동물병원","서울특별시 강남구 도산대로 539, 4층 (청담동, 금원빌딩)","02-512-7566",
"페츠비동물병원","서울특별시 강남구 도산대로 155, 1-2층 (신사동, 국제빌딩)","02-546-2475~6",
"스마트동물병원 성북길음점","서울특별시 성북구 길음로13길 22, 103호, 104호 (길음동, 길음7구역두산위브아파트)","02-941-5575",
"태안 동물병원","충청남도 태안군 태안읍 후곡로 111 (진경빌딩 1층)",
"월천동물병원 (출장전문)","경기도 안성시 대덕면 만세로 366-14",
"넥스펫동물병원","서울특별시 서초구 효령로 347, 1층 (서초동, 서광빌딩)","02-3474-7582",
"최기중 동물병원","충청남도 태안군 태안읍 중앙로 31-2","041-672-0346",
"이창석 동물병원","충청남도 태안군 태안읍 동백로 206","041-675-3378",
"의정부 동물병원 24시 88동물의료원","경기도 의정부시 평화로 452, 1층 (의정부동, 알리안츠생명빌딩)","031-848-8275",
"바른동물병원","경기도 광주시 파발로 107 (송정동, 남성빌딩)","031-762-8875",
"한국동물혈액은행 동물병원","대구광역시 수성구 용학로44길 53 (지산동)",
"미사동물병원","경기도 하남시 미사강변중앙로 223, 203호 (망월동)","031-796-7179",
"반석동물병원","경상북도 경주시 안강읍 화전길 46-1",
"테크노연합 동물병원","대구광역시 달성군 유가면 테크노중앙대로6길 2-4","053-617-8875",
"가온동물병원","경기도 파주시 가온로 116 (목동동)",
"양평동물의료센터","경기도 양평군 양서면 목왕로 23",
"한샘동물병원","충청북도 청주시 흥덕구 2순환로1261번길 4 (가경동)",
"치유동물병원","충청남도 천안시 동남구 봉정로 6, 2층 (봉명동)","041-900-7582",
"동물병원루니","경기도 성남시 분당구 미금로 251, 112,201,202,203호 (금곡동, 성원상가)","031-719-9545",
"권오성동물병원","울산광역시 남구 중앙로 282 (신정동)",
"서산동물병원","충청남도 서산시 안견로 235 (동문동)","041-667-5525",
"24시 더케어 동물의료센터","경기도 구리시 경춘로 292, 1층 (수택동)","031-516-8585",
"동인동물병원","대구광역시 중구 국채보상로 724 (동인동4가)","424-4258",
"페츠비동물병원","서울특별시 강남구 도산대로 155, 1-2층 (신사동, 국제빌딩)","02-546-2475~6",
"스마트동물병원 성북길음점","서울특별시 성북구 길음로13길 22, 103호, 104호 (길음동, 길음7구역두산위브아파트)","02-941-5575",
"태안 동물병원","충청남도 태안군 태안읍 후곡로 111 (진경빌딩 1층)",
"월천동물병원 (출장전문)","경기도 안성시 대덕면 만세로 366-14",
"넥스펫동물병원","서울특별시 서초구 효령로 347, 1층 (서초동, 서광빌딩)","02-3474-7582",
"최기중 동물병원","충청남도 태안군 태안읍 중앙로 31-2","041-672-0346",
"이창석 동물병원","충청남도 태안군 태안읍 동백로 206","041-675-3378",
"의정부 동물병원 24시 88동물의료원","경기도 의정부시 평화로 452, 1층 (의정부동, 알리안츠생명빌딩)","031-848-8275",
"바른동물병원","경기도 광주시 파발로 107 (송정동, 남성빌딩)","031-762-8875",
"한국동물혈액은행 동물병원","대구광역시 수성구 용학로44길 53 (지산동)",
"미사동물병원","경기도 하남시 미사강변중앙로 223, 203호 (망월동)","031-796-7179",
"반석동물병원","경상북도 경주시 안강읍 화전길 46-1",
"테크노연합 동물병원","대구광역시 달성군 유가면 테크노중앙대로6길 2-4","053-617-8875",
"가온동물병원","경기도 파주시 가온로 116 (목동동)",
"양평동물의료센터","경기도 양평군 양서면 목왕로 23",
"한샘동물병원","충청북도 청주시 흥덕구 2순환로1261번길 4 (가경동)",
"치유동물병원","충청남도 천안시 동남구 봉정로 6, 2층 (봉명동)","041-900-7582",
"동물병원루니","경기도 성남시 분당구 미금로 251, 112,201,202,203호 (금곡동, 성원상가)","031-719-9545",
"권오성동물병원","울산광역시 남구 중앙로 282 (신정동)",
"서산동물병원","충청남도 서산시 안견로 235 (동문동)","041-667-5525",
"24시 더케어 동물의료센터","경기도 구리시 경춘로 292, 1층 (수택동)","031-516-8585",
"동인동물병원","대구광역시 중구 국채보상로 724 (동인동4가)","424-4258",
"고려애견종합병원","대구광역시 중구 중앙대로 333 (남산동)","256-6100",
"중부동물병원","대구광역시 중구 달구벌대로 2114 (봉산동)","253-8278",
"삼덕종합동물병원","대구광역시 중구 달구벌대로 2145 (삼덕동1가)","426-1731",
"동산동물병원","대구광역시 중구 서성로 34 (남성로)","254-3366",
"오원석 황금동물병원","대구광역시 중구 동덕로 56-3 (대봉동)","767-1177",
"대구축산 동물병원","대구광역시 중구 대봉로 278 (대봉동)","053-424-9944",
"최우식동물병원","대구광역시 중구 명덕로 37 (남산동)","767-1588",
"클릭퍼피 동물병원","부산광역시 수영구 수영로702번길 18, 3층 (광안동)",
"바른동물병원","경기도 광주시 파발로 107 (송정동, 남성빌딩)","031-762-8875",
"한국동물혈액은행 동물병원","대구광역시 수성구 용학로44길 53 (지산동)",
"미사동물병원","경기도 하남시 미사강변중앙로 223, 203호 (망월동)","031-796-7179",
"반석동물병원","경상북도 경주시 안강읍 화전길 46-1",
"테크노연합 동물병원","대구광역시 달성군 유가면 테크노중앙대로6길 2-4","053-617-8875",
"가온동물병원","경기도 파주시 가온로 116 (목동동)",
"양평동물의료센터","경기도 양평군 양서면 목왕로 23",
"한샘동물병원","충청북도 청주시 흥덕구 2순환로1261번길 4 (가경동)",
"치유동물병원","충청남도 천안시 동남구 봉정로 6, 2층 (봉명동)","041-900-7582",
"동물병원루니","경기도 성남시 분당구 미금로 251, 112,201,202,203호 (금곡동, 성원상가)","031-719-9545",
"권오성동물병원","울산광역시 남구 중앙로 282 (신정동)",
"서산동물병원","충청남도 서산시 안견로 235 (동문동)","041-667-5525",
"24시 더케어 동물의료센터","경기도 구리시 경춘로 292, 1층 (수택동)","031-516-8585",
"동인동물병원","대구광역시 중구 국채보상로 724 (동인동4가)","424-4258",
"고려애견종합병원","대구광역시 중구 중앙대로 333 (남산동)","256-6100",
"중부동물병원","대구광역시 중구 달구벌대로 2114 (봉산동)","253-8278",
"삼덕종합동물병원","대구광역시 중구 달구벌대로 2145 (삼덕동1가)","426-1731",
"동산동물병원","대구광역시 중구 서성로 34 (남성로)","254-3366",
"오원석 황금동물병원","대구광역시 중구 동덕로 56-3 (대봉동)","767-1177",
"대구축산 동물병원","대구광역시 중구 대봉로 278 (대봉동)","053-424-9944",
"최우식동물병원","대구광역시 중구 명덕로 37 (남산동)","767-1588",
"클릭퍼피 동물병원","부산광역시 수영구 수영로702번길 18, 3층 (광안동)",
"힐스동물병원","경상남도 양산시 물금읍 신주3길 8","055-388-8275",
"윤동물병원·약품(출장진료전문)","충청남도 예산군 고덕면 황금뜰로 215",
"훈 동물병원","경기도 부천시 송내대로 14, 비102호 (송내동, 송내역파인푸르지오2단지)","0325265500",
"수원종합동물병원","경기도 수원시 영통구 중부대로 263, 2층 (원천동)","031-214-5527",
"더펫 동물병원","전라북도 전주시 완산구 서원로 168 (효자동2가)","1566-6880",
"암사동물병원","서울특별시 강동구 올림픽로 793 (암사동)","3426-5079",
"GD동물병원","서울특별시 강동구 상일로 13, 1,2층 (상일동)","429-8822",
"피카소동물병원","서울특별시 강동구 구천면로 431 (명일동)","3427-6419",
"치유동물병원","충청남도 천안시 동남구 봉정로 6, 2층 (봉명동)","041-900-7582",
"동물병원루니","경기도 성남시 분당구 미금로 251, 112,201,202,203호 (금곡동, 성원상가)","031-719-9545",
"권오성동물병원","울산광역시 남구 중앙로 282 (신정동)",
"서산동물병원","충청남도 서산시 안견로 235 (동문동)","041-667-5525",
"24시 더케어 동물의료센터","경기도 구리시 경춘로 292, 1층 (수택동)","031-516-8585",
"동인동물병원","대구광역시 중구 국채보상로 724 (동인동4가)","424-4258",
"고려애견종합병원","대구광역시 중구 중앙대로 333 (남산동)","256-6100",
"중부동물병원","대구광역시 중구 달구벌대로 2114 (봉산동)","253-8278",
"삼덕종합동물병원","대구광역시 중구 달구벌대로 2145 (삼덕동1가)","426-1731",
"동산동물병원","대구광역시 중구 서성로 34 (남성로)","254-3366",
"오원석 황금동물병원","대구광역시 중구 동덕로 56-3 (대봉동)","767-1177",
"대구축산 동물병원","대구광역시 중구 대봉로 278 (대봉동)","053-424-9944",
"최우식동물병원","대구광역시 중구 명덕로 37 (남산동)","767-1588",
"클릭퍼피 동물병원","부산광역시 수영구 수영로702번길 18, 3층 (광안동)",
"힐스동물병원","경상남도 양산시 물금읍 신주3길 8","055-388-8275",
"윤동물병원·약품(출장진료전문)","충청남도 예산군 고덕면 황금뜰로 215",
"훈 동물병원","경기도 부천시 송내대로 14, 비102호 (송내동, 송내역파인푸르지오2단지)","0325265500",
"수원종합동물병원","경기도 수원시 영통구 중부대로 263, 2층 (원천동)","031-214-5527",
"더펫 동물병원","전라북도 전주시 완산구 서원로 168 (효자동2가)","1566-6880",
"암사동물병원","서울특별시 강동구 올림픽로 793 (암사동)","3426-5079",
"GD동물병원","서울특별시 강동구 상일로 13, 1,2층 (상일동)","429-8822",
"피카소동물병원","서울특별시 강동구 구천면로 431 (명일동)","3427-6419",
"길종합동물병원","서울특별시 강동구 천호대로 1199, 1층 104호 (길동)","484-0075",
"세종동물병원","서울특별시 강동구 구천면로 237 (천호동)","484-8414",
"광나루동물병원","서울특별시 강동구 올림픽로 800 (암사동)","3427-7582",
"가나동물병원","서울특별시 강동구 고덕로 101 (암사동)","441-8588",
"다래동물병원","서울특별시 강동구 구천면로 289 (천호동)","474-0117",
"쥬라기동물병원","서울특별시 강동구 올림픽로 703 (천호동)","488-7463",
"사랑이있는동물병원","서울특별시 강동구 구천면로 446 (명일동)","426-0292",
"두루동물병원","서울특별시 강동구 구천면로 498-1 (명일동)","442-7772-3",
"삼덕종합동물병원","대구광역시 중구 달구벌대로 2145 (삼덕동1가)","426-1731",
"동산동물병원","대구광역시 중구 서성로 34 (남성로)","254-3366",
"오원석 황금동물병원","대구광역시 중구 동덕로 56-3 (대봉동)","767-1177",
"대구축산 동물병원","대구광역시 중구 대봉로 278 (대봉동)","053-424-9944",
"최우식동물병원","대구광역시 중구 명덕로 37 (남산동)","767-1588",
"클릭퍼피 동물병원","부산광역시 수영구 수영로702번길 18, 3층 (광안동)",
"힐스동물병원","경상남도 양산시 물금읍 신주3길 8","055-388-8275",
"윤동물병원·약품(출장진료전문)","충청남도 예산군 고덕면 황금뜰로 215",
"훈 동물병원","경기도 부천시 송내대로 14, 비102호 (송내동, 송내역파인푸르지오2단지)","0325265500",
"수원종합동물병원","경기도 수원시 영통구 중부대로 263, 2층 (원천동)","031-214-5527",
"더펫 동물병원","전라북도 전주시 완산구 서원로 168 (효자동2가)","1566-6880",
"암사동물병원","서울특별시 강동구 올림픽로 793 (암사동)","3426-5079",
"GD동물병원","서울특별시 강동구 상일로 13, 1,2층 (상일동)","429-8822",
"피카소동물병원","서울특별시 강동구 구천면로 431 (명일동)","3427-6419",
"길종합동물병원","서울특별시 강동구 천호대로 1199, 1층 104호 (길동)","484-0075",
"세종동물병원","서울특별시 강동구 구천면로 237 (천호동)","484-8414",
"광나루동물병원","서울특별시 강동구 올림픽로 800 (암사동)","3427-7582",
"가나동물병원","서울특별시 강동구 고덕로 101 (암사동)","441-8588",
"다래동물병원","서울특별시 강동구 구천면로 289 (천호동)","474-0117",
"쥬라기동물병원","서울특별시 강동구 올림픽로 703 (천호동)","488-7463",
"사랑이있는동물병원","서울특별시 강동구 구천면로 446 (명일동)","426-0292",
"두루동물병원","서울특별시 강동구 구천면로 498-1 (명일동)","442-7772-3",
"강동동물병원","서울특별시 강동구 양재대로 1532 (길동)","472-7343",
"둔촌동물병원","서울특별시 강동구 양재대로 1385 (성내동)","474-5100",
"김태화동물병원","서울특별시 강동구 천호대로 1190 (둔촌동)","486-4252",
"해태동물병원","서울특별시 강동구 동남로73길 26 (명일동)","427-5685",
"현대종합동물병원","서울특별시 강동구 구천면로 238 (천호동)","488-3703",
"CH동물병원","서울특별시 강동구 구천면로 322 (천호동)","488-7510",
"열린24시동물병원","서울특별시 강동구 양재대로 1508 (길동)","487-7575",
"박형우동물병원","서울특별시 강동구 올림픽로 560, 1층 (성내동)","02-488-8275",
"훈 동물병원","경기도 부천시 송내대로 14, 비102호 (송내동, 송내역파인푸르지오2단지)","0325265500",
"수원종합동물병원","경기도 수원시 영통구 중부대로 263, 2층 (원천동)","031-214-5527",
"더펫 동물병원","전라북도 전주시 완산구 서원로 168 (효자동2가)","1566-6880",
"암사동물병원","서울특별시 강동구 올림픽로 793 (암사동)","3426-5079",
"GD동물병원","서울특별시 강동구 상일로 13, 1,2층 (상일동)","429-8822",
"피카소동물병원","서울특별시 강동구 구천면로 431 (명일동)","3427-6419",
"길종합동물병원","서울특별시 강동구 천호대로 1199, 1층 104호 (길동)","484-0075",
"세종동물병원","서울특별시 강동구 구천면로 237 (천호동)","484-8414",
"광나루동물병원","서울특별시 강동구 올림픽로 800 (암사동)","3427-7582",
"가나동물병원","서울특별시 강동구 고덕로 101 (암사동)","441-8588",
"다래동물병원","서울특별시 강동구 구천면로 289 (천호동)","474-0117",
"쥬라기동물병원","서울특별시 강동구 올림픽로 703 (천호동)","488-7463",
"사랑이있는동물병원","서울특별시 강동구 구천면로 446 (명일동)","426-0292",
"두루동물병원","서울특별시 강동구 구천면로 498-1 (명일동)","442-7772-3",
"강동동물병원","서울특별시 강동구 양재대로 1532 (길동)","472-7343",
"둔촌동물병원","서울특별시 강동구 양재대로 1385 (성내동)","474-5100",
"김태화동물병원","서울특별시 강동구 천호대로 1190 (둔촌동)","486-4252",
"해태동물병원","서울특별시 강동구 동남로73길 26 (명일동)","427-5685",
"현대종합동물병원","서울특별시 강동구 구천면로 238 (천호동)","488-3703",
"CH동물병원","서울특별시 강동구 구천면로 322 (천호동)","488-7510",
"열린24시동물병원","서울특별시 강동구 양재대로 1508 (길동)","487-7575",
"박형우동물병원","서울특별시 강동구 올림픽로 560, 1층 (성내동)","02-488-8275",
"정동물병원","서울특별시 강동구 상암로 64 (천호동)","474-7588",
"펫클럽동물병원","서울특별시 강동구 구천면로 428, 108호 (명일동, 센트로빌)","3428-4036",
"시온동물병원","서울특별시 강동구 천호대로 1057 (천호동)","476-8275",
"늘사랑동물병원","서울특별시 강동구 고덕로 162, 101호 (명일동)","442-2223",
"Dr.베토벤동물병원","서울특별시 강동구 구천면로 664 (상일동)",
"성내동물병원","서울특별시 강동구 풍성로 145 (성내동)","484-5252",
"서울동물메디컬센터","서울특별시 강동구 양재대로 1410, 1층 (둔촌동, 준영빌딩)",
"비타민동물병원","서울특별시 강동구 동남로81길 82 (고덕동)","426-7509",
"광나루동물병원","서울특별시 강동구 올림픽로 800 (암사동)","3427-7582",
"가나동물병원","서울특별시 강동구 고덕로 101 (암사동)","441-8588",
"다래동물병원","서울특별시 강동구 구천면로 289 (천호동)","474-0117",
"쥬라기동물병원","서울특별시 강동구 올림픽로 703 (천호동)","488-7463",
"사랑이있는동물병원","서울특별시 강동구 구천면로 446 (명일동)","426-0292",
"두루동물병원","서울특별시 강동구 구천면로 498-1 (명일동)","442-7772-3",
"강동동물병원","서울특별시 강동구 양재대로 1532 (길동)","472-7343",
"둔촌동물병원","서울특별시 강동구 양재대로 1385 (성내동)","474-5100",
"김태화동물병원","서울특별시 강동구 천호대로 1190 (둔촌동)","486-4252",
"해태동물병원","서울특별시 강동구 동남로73길 26 (명일동)","427-5685",
"현대종합동물병원","서울특별시 강동구 구천면로 238 (천호동)","488-3703",
"CH동물병원","서울특별시 강동구 구천면로 322 (천호동)","488-7510",
"열린24시동물병원","서울특별시 강동구 양재대로 1508 (길동)","487-7575",
"박형우동물병원","서울특별시 강동구 올림픽로 560, 1층 (성내동)","02-488-8275",
"정동물병원","서울특별시 강동구 상암로 64 (천호동)","474-7588",
"펫클럽동물병원","서울특별시 강동구 구천면로 428, 108호 (명일동, 센트로빌)","3428-4036",
"시온동물병원","서울특별시 강동구 천호대로 1057 (천호동)","476-8275",
"늘사랑동물병원","서울특별시 강동구 고덕로 162, 101호 (명일동)","442-2223",
"Dr.베토벤동물병원","서울특별시 강동구 구천면로 664 (상일동)",
"성내동물병원","서울특별시 강동구 풍성로 145 (성내동)","484-5252",
"서울동물메디컬센터","서울특별시 강동구 양재대로 1410, 1층 (둔촌동, 준영빌딩)",
"비타민동물병원","서울특별시 강동구 동남로81길 82 (고덕동)","426-7509",
"아프리카동물병원","서울특별시 강동구 아리수로 421, 101호 (강일동, MIDC빌딩)","426-7722",
"한나동물병원","서울특별시 강동구 풍성로 197, 102호 (성내동, 한강훼밀리아파트)","479-2275",
"석동물병원","서울특별시 강동구 성안로 10 (성내동)",
"미드미동물의료센터","서울특별시 강동구 양재대로 1588 (명일동, 연우빌딩)",
"위즈펫동물병원 강동점","서울특별시 강동구 양재대로 1571 (천호동, 홈플러스 1층)","02-488-7524",
"Dr.주 동물병원","서울특별시 강동구 양재대로 1376 (둔촌동, 광안빌딩)","02 470 0030",
"내품에동물병원","서울특별시 강동구 천호대로 1120 (길동)","024771775",
"강앤정 동물병원","서울특별시 서대문구 가재울미래로 2, 204동 1층 102-2,103-1호 (남가좌동, DMC파크뷰자이)","02-305-7505",
"김태화동물병원","서울특별시 강동구 천호대로 1190 (둔촌동)","486-4252",
"해태동물병원","서울특별시 강동구 동남로73길 26 (명일동)","427-5685",
