"월성가축병원","경상북도 경주시 건천읍 내서로 1125",
"빛가온동물병원","서울특별시 서대문구 통일로 375 (홍제동)","739-5834",
"마음을 나누는 동물병원","서울특별시 서대문구 북아현로 8-2 (북아현동)","365-7582",
"초콜릿종합동물병원","서울특별시 서대문구 응암로 117 (북가좌동)","307-3335",
"한스동물병원","서울특별시 서대문구 증가로 111 (남가좌동)","303-1114",
"A+동물병원","서울특별시 서대문구 연희로 114 (연희동, 내풍빌딩)","3144-7582",
"가재울봉쥬르동물병원","서울특별시 서대문구 거북골로 178 (북가좌동)","02-305-8275",
"두리틀동물병원","서울특별시 서대문구 응암로 66 (북가좌동)","302-3275",
"예일동물병원","서울특별시 서대문구 거북골로 13 (홍은동)",
"햇살동물병원","서울특별시 서대문구 수색로 56, 1층 131호 (북가좌동, 성공타워)","0262720075",
"청담동물병원","서울특별시 송파구 토성로 30-1 (풍납동)","473-0577",
"좋은동물병원","서울특별시 광진구 자양로 246, 202호 (구의동)","452-1119",
"마포동물병원",
"서진동물병원",
"서교동물병원",
"롯데동물메디컬센터","부산광역시 부산진구 거제대로 20, 2,3층층 (양정동)","051-851-6612",
"뉴욕종합동물병원",
"용강동물병원","","707-2340",
"디엔씨동물병원","서울특별시 마포구 신촌로 154 (노고산동)","717-7571",
"월드펫동물병원","서울특별시 마포구 신촌로 248 (아현동)","364-3517",
"프란다스동물병원","서울특별시 서대문구 거북골로 120 (남가좌동, DMC센트레빌아파트)","309-8275",
"연희동물병원","서울특별시 서대문구 연희로25길 101 (연희동)","332-2883",
"우리동물병원","서울특별시 서대문구 통일로 197 (영천동)","393-6675",
"빛가온동물병원","서울특별시 서대문구 통일로 375 (홍제동)","739-5834",
"마음을 나누는 동물병원","서울특별시 서대문구 북아현로 8-2 (북아현동)","365-7582",
"초콜릿종합동물병원","서울특별시 서대문구 응암로 117 (북가좌동)","307-3335",
"한스동물병원","서울특별시 서대문구 증가로 111 (남가좌동)","303-1114",
"A+동물병원","서울특별시 서대문구 연희로 114 (연희동, 내풍빌딩)","3144-7582",
"가재울봉쥬르동물병원","서울특별시 서대문구 거북골로 178 (북가좌동)","02-305-8275",
"두리틀동물병원","서울특별시 서대문구 응암로 66 (북가좌동)","302-3275",
"예일동물병원","서울특별시 서대문구 거북골로 13 (홍은동)",
"햇살동물병원","서울특별시 서대문구 수색로 56, 1층 131호 (북가좌동, 성공타워)","0262720075",
"청담동물병원","서울특별시 송파구 토성로 30-1 (풍납동)","473-0577",
"좋은동물병원","서울특별시 광진구 자양로 246, 202호 (구의동)","452-1119",
"마포동물병원",
"서진동물병원",
"서교동물병원",
"롯데동물메디컬센터","부산광역시 부산진구 거제대로 20, 2,3층층 (양정동)","051-851-6612",
"뉴욕종합동물병원",
"용강동물병원","","707-2340",
"디엔씨동물병원","서울특별시 마포구 신촌로 154 (노고산동)","717-7571",
"월드펫동물병원","서울특별시 마포구 신촌로 248 (아현동)","364-3517",
"홍익동물종합병원",
"망원동물종합병원","서울특별시 마포구 월드컵로 65 (망원동)",
"셀레네동물병원",
"C.T.종합동물병원","서울특별시 마포구 만리재로 74 (신공덕동,신공덕2차 삼성래미안2상가 117호)",
"동물사랑동물병원","서울특별시 마포구 월드컵로 64 (서교동)","3142-0008",
"마리동물병원","서울특별시 마포구 신촌로 16 (동교동)","323-7582",
"행복한 동물병원","서울특별시 마포구 월드컵북로 224 (성산동,청화상가 104호)","302-7502",
"파티마동물병원","","325-7975",
"가재울봉쥬르동물병원","서울특별시 서대문구 거북골로 178 (북가좌동)","02-305-8275",
"두리틀동물병원","서울특별시 서대문구 응암로 66 (북가좌동)","302-3275",
"예일동물병원","서울특별시 서대문구 거북골로 13 (홍은동)",
"햇살동물병원","서울특별시 서대문구 수색로 56, 1층 131호 (북가좌동, 성공타워)","0262720075",
"청담동물병원","서울특별시 송파구 토성로 30-1 (풍납동)","473-0577",
"좋은동물병원","서울특별시 광진구 자양로 246, 202호 (구의동)","452-1119",
"마포동물병원",
"서진동물병원",
"서교동물병원",
"롯데동물메디컬센터","부산광역시 부산진구 거제대로 20, 2,3층층 (양정동)","051-851-6612",
"뉴욕종합동물병원",
"용강동물병원","","707-2340",
"디엔씨동물병원","서울특별시 마포구 신촌로 154 (노고산동)","717-7571",
"월드펫동물병원","서울특별시 마포구 신촌로 248 (아현동)","364-3517",
"홍익동물종합병원",
"망원동물종합병원","서울특별시 마포구 월드컵로 65 (망원동)",
"셀레네동물병원",
"C.T.종합동물병원","서울특별시 마포구 만리재로 74 (신공덕동,신공덕2차 삼성래미안2상가 117호)",
"동물사랑동물병원","서울특별시 마포구 월드컵로 64 (서교동)","3142-0008",
"마리동물병원","서울특별시 마포구 신촌로 16 (동교동)","323-7582",
"행복한 동물병원","서울특별시 마포구 월드컵북로 224 (성산동,청화상가 104호)","302-7502",
"파티마동물병원","","325-7975",
"박창석종합동물병원","서울특별시 마포구 도화길 42 (도화동)","6405-7582",
"상암동물병원","서울특별시 마포구 월드컵북로 336 (상암동)","375-7222",
"웰케어동물병원","서울특별시 마포구 월드컵북로 27 (서교동)","338-9916",
"웨스턴 동물의료센터","서울특별시 마포구 신촌로 114, 지상1,3층및지하1층 (노고산동)","02-701-7580",
"동물메디컬센터w","서울특별시 마포구 월드컵로 46 (서교동)","323-8275",
"구림동물병원",
"박효리군 동물병원","서울특별시 마포구 포은로 64 (망원동)","02-326-0275",
"하이디 동물병원","서울특별시 마포구 독막로 38 (합정동)","338-0275",
"서교동물병원",
"롯데동물메디컬센터","부산광역시 부산진구 거제대로 20, 2,3층층 (양정동)","051-851-6612",
"뉴욕종합동물병원",
"용강동물병원","","707-2340",
"디엔씨동물병원","서울특별시 마포구 신촌로 154 (노고산동)","717-7571",
"월드펫동물병원","서울특별시 마포구 신촌로 248 (아현동)","364-3517",
"홍익동물종합병원",
"망원동물종합병원","서울특별시 마포구 월드컵로 65 (망원동)",
"셀레네동물병원",
"C.T.종합동물병원","서울특별시 마포구 만리재로 74 (신공덕동,신공덕2차 삼성래미안2상가 117호)",
"동물사랑동물병원","서울특별시 마포구 월드컵로 64 (서교동)","3142-0008",
"마리동물병원","서울특별시 마포구 신촌로 16 (동교동)","323-7582",
"행복한 동물병원","서울특별시 마포구 월드컵북로 224 (성산동,청화상가 104호)","302-7502",
"파티마동물병원","","325-7975",
"박창석종합동물병원","서울특별시 마포구 도화길 42 (도화동)","6405-7582",
"상암동물병원","서울특별시 마포구 월드컵북로 336 (상암동)","375-7222",
"웰케어동물병원","서울특별시 마포구 월드컵북로 27 (서교동)","338-9916",
"웨스턴 동물의료센터","서울특별시 마포구 신촌로 114, 지상1,3층및지하1층 (노고산동)","02-701-7580",
"동물메디컬센터w","서울특별시 마포구 월드컵로 46 (서교동)","323-8275",
"구림동물병원",
"박효리군 동물병원","서울특별시 마포구 포은로 64 (망원동)","02-326-0275",
"하이디 동물병원","서울특별시 마포구 독막로 38 (합정동)","338-0275",
"힐링 24시 동물병원","서울특별시 마포구 백범로 205 (신공덕동, 펜트라우스)","713-8275",
"24시 공덕종합동물병원","서울특별시 마포구 백범로 130 (염리동)","02 717 3333",
"도화동물병원","서울특별시 마포구 삼개로 28 (도화동)","712 8875",
"홍대 아이엠 중성화 진료 수술 센터","서울특별시 마포구 양화로 122 (서교동)","02 338 2475",
"공덕 건강한 동물병원","서울특별시 마포구 만리재로 15, 108호 (공덕동,제일빌딩)","02 701 0705",
"한아름동물병원","서울특별시 마포구 독막로 153 (창전동)",
"워너비 동물병원","서울특별시 마포구 동교로 193 (동교동)","023221275",
"동물병원 닥터K","서울특별시 마포구 월드컵북로 347, 1층 (상암동)","3061259",
"셀레네동물병원",
"C.T.종합동물병원","서울특별시 마포구 만리재로 74 (신공덕동,신공덕2차 삼성래미안2상가 117호)",
"동물사랑동물병원","서울특별시 마포구 월드컵로 64 (서교동)","3142-0008",
"마리동물병원","서울특별시 마포구 신촌로 16 (동교동)","323-7582",
"행복한 동물병원","서울특별시 마포구 월드컵북로 224 (성산동,청화상가 104호)","302-7502",
"파티마동물병원","","325-7975",
"박창석종합동물병원","서울특별시 마포구 도화길 42 (도화동)","6405-7582",
"상암동물병원","서울특별시 마포구 월드컵북로 336 (상암동)","375-7222",
"웰케어동물병원","서울특별시 마포구 월드컵북로 27 (서교동)","338-9916",
"웨스턴 동물의료센터","서울특별시 마포구 신촌로 114, 지상1,3층및지하1층 (노고산동)","02-701-7580",
"동물메디컬센터w","서울특별시 마포구 월드컵로 46 (서교동)","323-8275",
"구림동물병원",
"박효리군 동물병원","서울특별시 마포구 포은로 64 (망원동)","02-326-0275",
"하이디 동물병원","서울특별시 마포구 독막로 38 (합정동)","338-0275",
"힐링 24시 동물병원","서울특별시 마포구 백범로 205 (신공덕동, 펜트라우스)","713-8275",
"24시 공덕종합동물병원","서울특별시 마포구 백범로 130 (염리동)","02 717 3333",
"도화동물병원","서울특별시 마포구 삼개로 28 (도화동)","712 8875",
"홍대 아이엠 중성화 진료 수술 센터","서울특별시 마포구 양화로 122 (서교동)","02 338 2475",
"공덕 건강한 동물병원","서울특별시 마포구 만리재로 15, 108호 (공덕동,제일빌딩)","02 701 0705",
"한아름동물병원","서울특별시 마포구 독막로 153 (창전동)",
"워너비 동물병원","서울특별시 마포구 동교로 193 (동교동)","023221275",
"동물병원 닥터K","서울특별시 마포구 월드컵북로 347, 1층 (상암동)","3061259",
"아프지말게 동물병원","서울특별시 마포구 상암산로1길 24 (상암동, 월드컵파크 4단지 상가 113-2)","307 3355",
"굿모닝 동물병원","서울특별시 마포구 독막로 295 (염리동, 삼부골든타워106호)","027113375",
"카라동물병원","서울특별시 마포구 잔다리로 122, 2층 (서교동)","6380 0999",
"닥터M 동물병원","서울특별시 마포구 마포대로 195 (아현동, 마포래미안 푸르지오 4단지 상가 134호)","02 313 7979",
"예스 동물병원","서울특별시 마포구 마포대로 195 (아현동, 마포래미안푸르지오 4단지상가 214호)","02 363 7975",
"메세나 프렌즈 동물병원","서울특별시 마포구 양화로 45, B층 101호 (서교동, 메세나폴리스 )","02 6083 1008",
"광희동물병원","전라북도 완주군 이서면 콩쥐팥쥐로 1047","063-229-6649",
"쿨펫동물병원 이마트금정점","부산광역시 금정구 중앙대로1841번길 24 (구서동, E마트금정점)","518-1360",
"웰케어동물병원","서울특별시 마포구 월드컵북로 27 (서교동)","338-9916",
"웨스턴 동물의료센터","서울특별시 마포구 신촌로 114, 지상1,3층및지하1층 (노고산동)","02-701-7580",
"동물메디컬센터w","서울특별시 마포구 월드컵로 46 (서교동)","323-8275",
"구림동물병원",
"박효리군 동물병원","서울특별시 마포구 포은로 64 (망원동)","02-326-0275",
"하이디 동물병원","서울특별시 마포구 독막로 38 (합정동)","338-0275",
"힐링 24시 동물병원","서울특별시 마포구 백범로 205 (신공덕동, 펜트라우스)","713-8275",
"24시 공덕종합동물병원","서울특별시 마포구 백범로 130 (염리동)","02 717 3333",
"도화동물병원","서울특별시 마포구 삼개로 28 (도화동)","712 8875",
"홍대 아이엠 중성화 진료 수술 센터","서울특별시 마포구 양화로 122 (서교동)","02 338 2475",
"공덕 건강한 동물병원","서울특별시 마포구 만리재로 15, 108호 (공덕동,제일빌딩)","02 701 0705",
"한아름동물병원","서울특별시 마포구 독막로 153 (창전동)",
"워너비 동물병원","서울특별시 마포구 동교로 193 (동교동)","023221275",
"동물병원 닥터K","서울특별시 마포구 월드컵북로 347, 1층 (상암동)","3061259",
"아프지말게 동물병원","서울특별시 마포구 상암산로1길 24 (상암동, 월드컵파크 4단지 상가 113-2)","307 3355",
"굿모닝 동물병원","서울특별시 마포구 독막로 295 (염리동, 삼부골든타워106호)","027113375",
"카라동물병원","서울특별시 마포구 잔다리로 122, 2층 (서교동)","6380 0999",
"닥터M 동물병원","서울특별시 마포구 마포대로 195 (아현동, 마포래미안 푸르지오 4단지 상가 134호)","02 313 7979",
"예스 동물병원","서울특별시 마포구 마포대로 195 (아현동, 마포래미안푸르지오 4단지상가 214호)","02 363 7975",
"메세나 프렌즈 동물병원","서울특별시 마포구 양화로 45, B층 101호 (서교동, 메세나폴리스 )","02 6083 1008",
"광희동물병원","전라북도 완주군 이서면 콩쥐팥쥐로 1047","063-229-6649",
"쿨펫동물병원 이마트금정점","부산광역시 금정구 중앙대로1841번길 24 (구서동, E마트금정점)","518-1360",
"웰케어동물병원","대전광역시 서구 관저북로13번길 23-12, 106호 (관저동)","544-2475",
"미유 동물병원","부산광역시 연제구 과정로344번길 3 (연산동)","051-863-8638",
"금악동물병원","제주특별자치도 제주시 한림읍 금악로 39","064-796-8275",
"아산동물의료센터","부산광역시 기장군 정관면 정관로 583, 2층 201호","727-7522",
"나아라 동물병원","제주특별자치도 제주시 중앙로 536 (아라일동)","799-7582",
"사하종합동물병원","부산광역시 사하구 낙동대로 356 (당리동)","202-1891",
"박 동물병원","부산광역시 사하구 낙동대로 407 (당리동)","202-7002",
"염동물병원","부산광역시 사하구 사하로142번길 10 (괴정동)","292-3690",
"도화동물병원","서울특별시 마포구 삼개로 28 (도화동)","712 8875",
"홍대 아이엠 중성화 진료 수술 센터","서울특별시 마포구 양화로 122 (서교동)","02 338 2475",
"공덕 건강한 동물병원","서울특별시 마포구 만리재로 15, 108호 (공덕동,제일빌딩)","02 701 0705",
"한아름동물병원","서울특별시 마포구 독막로 153 (창전동)",
"워너비 동물병원","서울특별시 마포구 동교로 193 (동교동)","023221275",
"동물병원 닥터K","서울특별시 마포구 월드컵북로 347, 1층 (상암동)","3061259",
"아프지말게 동물병원","서울특별시 마포구 상암산로1길 24 (상암동, 월드컵파크 4단지 상가 113-2)","307 3355",
"굿모닝 동물병원","서울특별시 마포구 독막로 295 (염리동, 삼부골든타워106호)","027113375",
"카라동물병원","서울특별시 마포구 잔다리로 122, 2층 (서교동)","6380 0999",
"닥터M 동물병원","서울특별시 마포구 마포대로 195 (아현동, 마포래미안 푸르지오 4단지 상가 134호)","02 313 7979",
"예스 동물병원","서울특별시 마포구 마포대로 195 (아현동, 마포래미안푸르지오 4단지상가 214호)","02 363 7975",
"메세나 프렌즈 동물병원","서울특별시 마포구 양화로 45, B층 101호 (서교동, 메세나폴리스 )","02 6083 1008",
"광희동물병원","전라북도 완주군 이서면 콩쥐팥쥐로 1047","063-229-6649",
"쿨펫동물병원 이마트금정점","부산광역시 금정구 중앙대로1841번길 24 (구서동, E마트금정점)","518-1360",
"웰케어동물병원","대전광역시 서구 관저북로13번길 23-12, 106호 (관저동)","544-2475",
"미유 동물병원","부산광역시 연제구 과정로344번길 3 (연산동)","051-863-8638",
"금악동물병원","제주특별자치도 제주시 한림읍 금악로 39","064-796-8275",
"아산동물의료센터","부산광역시 기장군 정관면 정관로 583, 2층 201호","727-7522",
"나아라 동물병원","제주특별자치도 제주시 중앙로 536 (아라일동)","799-7582",
"사하종합동물병원","부산광역시 사하구 낙동대로 356 (당리동)","202-1891",
"박 동물병원","부산광역시 사하구 낙동대로 407 (당리동)","202-7002",
"염동물병원","부산광역시 사하구 사하로142번길 10 (괴정동)","292-3690",
"해솔동물병원","경기도 화성시 동탄원천로 354-11, 106~107호 (능동)","8003-7595",
"참조은 동물병원","부산광역시 사하구 낙동대로 295-1 (괴정동)","292-0141",
"장 동물병원","부산광역시 사하구 윤공단로56번길 55 (다대동)","262-7582",
"하단동물병원","부산광역시 사하구 하신중앙로 296 (하단동)","291-4456",
"쿨펫 동물병원","부산광역시 사하구 을숙도대로 610 (장림동)","264-8275",
"한솔동물병원","부산광역시 사하구 낙동대로 184 (괴정동)","201-0475",
"스마트동물병원","부산광역시 사하구 다대로 624 (다대동)","264-1891",
"다대동물병원","부산광역시 사하구 다대로 549 (다대동)","266-7582",
"카라동물병원","서울특별시 마포구 잔다리로 122, 2층 (서교동)","6380 0999",
"닥터M 동물병원","서울특별시 마포구 마포대로 195 (아현동, 마포래미안 푸르지오 4단지 상가 134호)","02 313 7979",
"예스 동물병원","서울특별시 마포구 마포대로 195 (아현동, 마포래미안푸르지오 4단지상가 214호)","02 363 7975",
"메세나 프렌즈 동물병원","서울특별시 마포구 양화로 45, B층 101호 (서교동, 메세나폴리스 )","02 6083 1008",
"광희동물병원","전라북도 완주군 이서면 콩쥐팥쥐로 1047","063-229-6649",
"쿨펫동물병원 이마트금정점","부산광역시 금정구 중앙대로1841번길 24 (구서동, E마트금정점)","518-1360",
"웰케어동물병원","대전광역시 서구 관저북로13번길 23-12, 106호 (관저동)","544-2475",
"미유 동물병원","부산광역시 연제구 과정로344번길 3 (연산동)","051-863-8638",
"금악동물병원","제주특별자치도 제주시 한림읍 금악로 39","064-796-8275",
"아산동물의료센터","부산광역시 기장군 정관면 정관로 583, 2층 201호","727-7522",
"나아라 동물병원","제주특별자치도 제주시 중앙로 536 (아라일동)","799-7582",
"사하종합동물병원","부산광역시 사하구 낙동대로 356 (당리동)","202-1891",
"박 동물병원","부산광역시 사하구 낙동대로 407 (당리동)","202-7002",
"염동물병원","부산광역시 사하구 사하로142번길 10 (괴정동)","292-3690",
"해솔동물병원","경기도 화성시 동탄원천로 354-11, 106~107호 (능동)","8003-7595",
"참조은 동물병원","부산광역시 사하구 낙동대로 295-1 (괴정동)","292-0141",
"장 동물병원","부산광역시 사하구 윤공단로56번길 55 (다대동)","262-7582",
"하단동물병원","부산광역시 사하구 하신중앙로 296 (하단동)","291-4456",
"쿨펫 동물병원","부산광역시 사하구 을숙도대로 610 (장림동)","264-8275",
"한솔동물병원","부산광역시 사하구 낙동대로 184 (괴정동)","201-0475",
"스마트동물병원","부산광역시 사하구 다대로 624 (다대동)","264-1891",
"다대동물병원","부산광역시 사하구 다대로 549 (다대동)","266-7582",
"괴정동물병원","부산광역시 사하구 낙동대로250번안길 15 (괴정동)","207-3344",
"부산야생동물치료센터","부산광역시 사하구 낙동남로 1240 (하단동)","209-2091",
"신성동물병원","부산광역시 사하구 낙동대로 194 (괴정동)","202-8275",
"삼성종합동물병원","부산광역시 사하구 감천로 32 (감천동)","051-205-1017",
"라온동물병원","부산광역시 사하구 낙동대로 511 (하단동)","291-7900",
"김현태동물병원","부산광역시 사하구 다송로 36 (다대동)","051-265-7582",
"영주동물병원","경기도 광주시 파발로151번길 4-2 (경안동)","762-3575",
"마송동물병원","경기도 김포시 통진읍 조강로 36, 104호",
"금악동물병원","제주특별자치도 제주시 한림읍 금악로 39","064-796-8275",
"아산동물의료센터","부산광역시 기장군 정관면 정관로 583, 2층 201호","727-7522",
"나아라 동물병원","제주특별자치도 제주시 중앙로 536 (아라일동)","799-7582",
"사하종합동물병원","부산광역시 사하구 낙동대로 356 (당리동)","202-1891",
"박 동물병원","부산광역시 사하구 낙동대로 407 (당리동)","202-7002",
"염동물병원","부산광역시 사하구 사하로142번길 10 (괴정동)","292-3690",
"해솔동물병원","경기도 화성시 동탄원천로 354-11, 106~107호 (능동)","8003-7595",
"참조은 동물병원","부산광역시 사하구 낙동대로 295-1 (괴정동)","292-0141",
"장 동물병원","부산광역시 사하구 윤공단로56번길 55 (다대동)","262-7582",
"하단동물병원","부산광역시 사하구 하신중앙로 296 (하단동)","291-4456",
"쿨펫 동물병원","부산광역시 사하구 을숙도대로 610 (장림동)","264-8275",
"한솔동물병원","부산광역시 사하구 낙동대로 184 (괴정동)","201-0475",
"스마트동물병원","부산광역시 사하구 다대로 624 (다대동)","264-1891",
"다대동물병원","부산광역시 사하구 다대로 549 (다대동)","266-7582",
"괴정동물병원","부산광역시 사하구 낙동대로250번안길 15 (괴정동)","207-3344",
"부산야생동물치료센터","부산광역시 사하구 낙동남로 1240 (하단동)","209-2091",
"신성동물병원","부산광역시 사하구 낙동대로 194 (괴정동)","202-8275",
"삼성종합동물병원","부산광역시 사하구 감천로 32 (감천동)","051-205-1017",
"라온동물병원","부산광역시 사하구 낙동대로 511 (하단동)","291-7900",
"김현태동물병원","부산광역시 사하구 다송로 36 (다대동)","051-265-7582",
"영주동물병원","경기도 광주시 파발로151번길 4-2 (경안동)","762-3575",
"마송동물병원","경기도 김포시 통진읍 조강로 36, 104호",
"피그케어 동물병원","대전광역시 대덕구 신탄진로 796 (신탄진동)","935-6525",
"이룸동물병원","부산광역시 연제구 연수로 140 (연산동)","868-0075",
"서울종합동물병원백석","경기도 고양시 일산동구 호수로 340-25, 202동 1층 110,111호 (백석동, 동문굿모닝힐II)","031-904-7587",
"리더스 동물병원","경기도 화성시 동탄대로시범길 148-22 (청계동)",
"Dr dog동물의료센터","경기도 고양시 일산동구 일산로394번길 5-9 (정발산동)","031-932-0075",
"광화문동물병원","서울특별시 종로구 사직로9길 6-1 (필운동)","722-8275",
"24시 산들산들 동물병원","서울특별시 마포구 마포대로16길 7 (공덕동, 영지빌딩2층)","023933588",
"한국동물암센터","서울특별시 노원구 노원로 456, 3층 301호 (상계동, 백암빌딩)","02-932-0075",
"장 동물병원","부산광역시 사하구 윤공단로56번길 55 (다대동)","262-7582",
"하단동물병원","부산광역시 사하구 하신중앙로 296 (하단동)","291-4456",
"쿨펫 동물병원","부산광역시 사하구 을숙도대로 610 (장림동)","264-8275",
"한솔동물병원","부산광역시 사하구 낙동대로 184 (괴정동)","201-0475",
"스마트동물병원","부산광역시 사하구 다대로 624 (다대동)","264-1891",
"다대동물병원","부산광역시 사하구 다대로 549 (다대동)","266-7582",
"괴정동물병원","부산광역시 사하구 낙동대로250번안길 15 (괴정동)","207-3344",
"부산야생동물치료센터","부산광역시 사하구 낙동남로 1240 (하단동)","209-2091",
"신성동물병원","부산광역시 사하구 낙동대로 194 (괴정동)","202-8275",
"삼성종합동물병원","부산광역시 사하구 감천로 32 (감천동)","051-205-1017",
"라온동물병원","부산광역시 사하구 낙동대로 511 (하단동)","291-7900",
"김현태동물병원","부산광역시 사하구 다송로 36 (다대동)","051-265-7582",
"영주동물병원","경기도 광주시 파발로151번길 4-2 (경안동)","762-3575",
"마송동물병원","경기도 김포시 통진읍 조강로 36, 104호",
"피그케어 동물병원","대전광역시 대덕구 신탄진로 796 (신탄진동)","935-6525",
"이룸동물병원","부산광역시 연제구 연수로 140 (연산동)","868-0075",
"서울종합동물병원백석","경기도 고양시 일산동구 호수로 340-25, 202동 1층 110,111호 (백석동, 동문굿모닝힐II)","031-904-7587",
"리더스 동물병원","경기도 화성시 동탄대로시범길 148-22 (청계동)",
"Dr dog동물의료센터","경기도 고양시 일산동구 일산로394번길 5-9 (정발산동)","031-932-0075",
"광화문동물병원","서울특별시 종로구 사직로9길 6-1 (필운동)","722-8275",
"24시 산들산들 동물병원","서울특별시 마포구 마포대로16길 7 (공덕동, 영지빌딩2층)","023933588",
"한국동물암센터","서울특별시 노원구 노원로 456, 3층 301호 (상계동, 백암빌딩)","02-932-0075",
"운정힐링 동물병원","경기도 파주시 와석순환로 70 (야당동, 신운정프라자2)",
"보담동물병원","서울특별시 중랑구 용마산로 434 (면목동, 청파빌딩)","02-494-7775",
"스마트동물병원","서울특별시 동대문구 한천로 164 (장안동)","02-2242-0175",
"닥터페티앙동물병원","경기도 용인시 처인구 명지로 185 (남동)","0313357578",
"닥터K동물병원","경기도 안산시 단원구 초지2로 67, 110호 (초지동, 한미타워)","031-401-0275",
"돌봄동물병원","경기도 수원시 영통구 중부대로 250-1, 1층 (매탄동)","031-217-7570",
"다가온동물병원","경기도 평택시 평택2로 484-6 (비전동)","031-655-7533",
"하임동물병원","경기도 용인시 수지구 포은대로 450 (풍덕천동)","031-898-4300",
"신성동물병원","부산광역시 사하구 낙동대로 194 (괴정동)","202-8275",
"삼성종합동물병원","부산광역시 사하구 감천로 32 (감천동)","051-205-1017",
"라온동물병원","부산광역시 사하구 낙동대로 511 (하단동)","291-7900",
"김현태동물병원","부산광역시 사하구 다송로 36 (다대동)","051-265-7582",
"영주동물병원","경기도 광주시 파발로151번길 4-2 (경안동)","762-3575",
"마송동물병원","경기도 김포시 통진읍 조강로 36, 104호",
"피그케어 동물병원","대전광역시 대덕구 신탄진로 796 (신탄진동)","935-6525",
"이룸동물병원","부산광역시 연제구 연수로 140 (연산동)","868-0075",
"서울종합동물병원백석","경기도 고양시 일산동구 호수로 340-25, 202동 1층 110,111호 (백석동, 동문굿모닝힐II)","031-904-7587",
"리더스 동물병원","경기도 화성시 동탄대로시범길 148-22 (청계동)",
"Dr dog동물의료센터","경기도 고양시 일산동구 일산로394번길 5-9 (정발산동)","031-932-0075",
"광화문동물병원","서울특별시 종로구 사직로9길 6-1 (필운동)","722-8275",
"24시 산들산들 동물병원","서울특별시 마포구 마포대로16길 7 (공덕동, 영지빌딩2층)","023933588",
"한국동물암센터","서울특별시 노원구 노원로 456, 3층 301호 (상계동, 백암빌딩)","02-932-0075",
"운정힐링 동물병원","경기도 파주시 와석순환로 70 (야당동, 신운정프라자2)",
"보담동물병원","서울특별시 중랑구 용마산로 434 (면목동, 청파빌딩)","02-494-7775",
"스마트동물병원","서울특별시 동대문구 한천로 164 (장안동)","02-2242-0175",
"닥터페티앙동물병원","경기도 용인시 처인구 명지로 185 (남동)","0313357578",
"닥터K동물병원","경기도 안산시 단원구 초지2로 67, 110호 (초지동, 한미타워)","031-401-0275",
"돌봄동물병원","경기도 수원시 영통구 중부대로 250-1, 1층 (매탄동)","031-217-7570",
"다가온동물병원","경기도 평택시 평택2로 484-6 (비전동)","031-655-7533",
"하임동물병원","경기도 용인시 수지구 포은대로 450 (풍덕천동)","031-898-4300",
"이매 동물병원","경기도 성남시 분당구 성남대로779번길 17, 1층 (이매동, 포티스빌딩)","703-7582",
"24시 폴 동물병원","경기도 성남시 분당구 성남대로 385, 102호 (정자동, 분당클리닉빌딩)","717-7558",
"라인 동물병원","경기도 성남시 분당구 정자일로 100, 116호 (정자동, 미켈란쉐르빌)","711-6775",
"바로 동물병원","경기도 부천시 원미로 88-2 (원미동)","255-0075",
"맘스동물의료센터","경기도 부천시 길주로 80, 202호 (상동, 로얄타워)",
"견우동물병원","경상북도 포항시 북구 두호로 29 (두호동)","0542527577",
"닥터펫동물병원","전라북도 전주시 완산구 백제대로 378 (서신동)","272-0075",
"동물병원소풍","서울특별시 성동구 금호로 173, 상가동 1층 24호 (금호동2가, 신금호파크자이)","02-2237-1975",
"서울종합동물병원백석","경기도 고양시 일산동구 호수로 340-25, 202동 1층 110,111호 (백석동, 동문굿모닝힐II)","031-904-7587",
"리더스 동물병원","경기도 화성시 동탄대로시범길 148-22 (청계동)",
"Dr dog동물의료센터","경기도 고양시 일산동구 일산로394번길 5-9 (정발산동)","031-932-0075",
"광화문동물병원","서울특별시 종로구 사직로9길 6-1 (필운동)","722-8275",
"24시 산들산들 동물병원","서울특별시 마포구 마포대로16길 7 (공덕동, 영지빌딩2층)","023933588",
"한국동물암센터","서울특별시 노원구 노원로 456, 3층 301호 (상계동, 백암빌딩)","02-932-0075",
"운정힐링 동물병원","경기도 파주시 와석순환로 70 (야당동, 신운정프라자2)",
"보담동물병원","서울특별시 중랑구 용마산로 434 (면목동, 청파빌딩)","02-494-7775",
"스마트동물병원","서울특별시 동대문구 한천로 164 (장안동)","02-2242-0175",
"닥터페티앙동물병원","경기도 용인시 처인구 명지로 185 (남동)","0313357578",
"닥터K동물병원","경기도 안산시 단원구 초지2로 67, 110호 (초지동, 한미타워)","031-401-0275",
"돌봄동물병원","경기도 수원시 영통구 중부대로 250-1, 1층 (매탄동)","031-217-7570",
"다가온동물병원","경기도 평택시 평택2로 484-6 (비전동)","031-655-7533",
"하임동물병원","경기도 용인시 수지구 포은대로 450 (풍덕천동)","031-898-4300",
"이매 동물병원","경기도 성남시 분당구 성남대로779번길 17, 1층 (이매동, 포티스빌딩)","703-7582",
"24시 폴 동물병원","경기도 성남시 분당구 성남대로 385, 102호 (정자동, 분당클리닉빌딩)","717-7558",
